Request id,Pickup point,Driver id,Request timestamp,Drop timestamp,Status
1826,City,4,12/7/2016 9:27,12/7/2016 10:27,Trip Completed
2102,City,4,12/7/2016 16:09,12/7/2016 17:01,Trip Completed
2847,Airport,4,13-07-2016 05:34:20,13-07-2016 06:09:59,Trip Completed
3722,Airport,4,13-07-2016 19:57:59,13-07-2016 20:32:04,Trip Completed
4075,City,4,14-07-2016 02:17:35,14-07-2016 03:21:38,Trip Completed
4686,City,4,14-07-2016 13:01:10,14-07-2016 13:45:28,Trip Completed
5771,Airport,4,15-07-2016 08:30:06,15-07-2016 09:37:20,Trip Completed
6106,Airport,4,15-07-2016 15:01:20,15-07-2016 15:47:31,Trip Completed
312,City,5,11/7/2016 7:27,11/7/2016 8:31,Trip Completed
577,Airport,5,11/7/2016 11:03,11/7/2016 12:01,Trip Completed
1179,City,5,11/7/2016 20:58,11/7/2016 21:45,Trip Completed
1756,Airport,5,12/7/2016 8:40,12/7/2016 9:23,Trip Completed
2052,City,5,12/7/2016 14:48,12/7/2016 15:50,Trip Completed
2559,City,5,12/7/2016 21:32,12/7/2016 22:29,Trip Completed
3014,City,5,13-07-2016 07:28:14,13-07-2016 08:29:47,Trip Completed
3317,City,5,13-07-2016 12:14:27,13-07-2016 12:46:38,Trip Completed
4297,City,5,14-07-2016 06:43:01,14-07-2016 07:49:38,Trip Completed
5857,Airport,5,15-07-2016 09:08:50,15-07-2016 10:07:07,Trip Completed
6690,Airport,5,15-07-2016 22:41:41,15-07-2016 23:51:00,Trip Completed
1517,Airport,6,12/7/2016 5:45,12/7/2016 6:28,Trip Completed
1999,Airport,6,12/7/2016 13:02,12/7/2016 13:51,Trip Completed
2960,Airport,6,13-07-2016 06:50:33,13-07-2016 07:40:35,Trip Completed
3882,City,6,13-07-2016 21:53:03,13-07-2016 22:45:24,Trip Completed
4081,Airport,6,14-07-2016 02:37:14,14-07-2016 03:30:27,Trip Completed
4740,City,6,14-07-2016 14:50:07,14-07-2016 15:38:14,Trip Completed
5270,City,6,14-07-2016 21:33:55,14-07-2016 22:25:43,Trip Completed
6758,Airport,6,15-07-2016 00:03:39,15-07-2016 01:07:39,Trip Completed
5741,City,6,15-07-2016 07:52:51,15-07-2016 08:38:55,Trip Completed
6087,Airport,6,15-07-2016 14:28:50,15-07-2016 15:33:53,Trip Completed
1039,City,7,11/7/2016 19:31,11/7/2016 20:41,Trip Completed
1273,Airport,7,11/7/2016 22:07,11/7/2016 23:12,Trip Completed
2480,City,7,12/7/2016 20:39,12/7/2016 21:28,Trip Completed
4105,City,7,14-07-2016 03:39:38,14-07-2016 04:39:04,Trip Completed
4509,City,7,14-07-2016 09:11:13,14-07-2016 10:17:01,Trip Completed
4986,Airport,7,14-07-2016 18:52:32,14-07-2016 19:50:57,Trip Completed
5898,City,7,15-07-2016 09:50:28,15-07-2016 10:40:39,Trip Completed
6142,Airport,7,15-07-2016 15:50:15,15-07-2016 16:36:56,Trip Completed
380,Airport,8,11/7/2016 8:18,11/7/2016 9:18,Trip Completed
1050,Airport,8,11/7/2016 19:39,11/7/2016 20:30,Trip Completed
1769,City,8,12/7/2016 8:57,12/7/2016 9:24,Trip Completed
2520,City,8,12/7/2016 21:05,12/7/2016 22:20,Trip Completed
3265,Airport,8,13-07-2016 10:22:07,13-07-2016 11:07:02,Trip Completed
4648,City,8,14-07-2016 11:55:10,14-07-2016 12:59:34,Trip Completed
449,Airport,9,11/7/2016 9:08,11/7/2016 9:52,Trip Completed
846,Airport,9,11/7/2016 17:46,11/7/2016 18:52,Trip Completed
1346,Airport,9,11/7/2016 23:39,12/7/2016 0:23,Trip Completed
1474,Airport,9,12/7/2016 5:13,12/7/2016 5:56,Trip Completed
2240,City,9,12/7/2016 18:20,12/7/2016 18:54,Trip Completed
3072,Airport,9,13-07-2016 08:04:57,13-07-2016 08:36:37,Trip Completed
3459,Airport,9,13-07-2016 17:03:30,13-07-2016 17:31:49,Trip Completed
3774,Airport,9,13-07-2016 20:41:24,13-07-2016 21:27:29,Trip Completed
4023,City,9,13-07-2016 23:58:41,14-07-2016 00:58:39,Trip Completed
4117,City,9,14-07-2016 04:21:42,14-07-2016 05:07:07,Trip Completed
4880,Airport,9,14-07-2016 17:58:46,14-07-2016 19:02:42,Trip Completed
5568,Airport,9,15-07-2016 05:47:49,15-07-2016 06:25:49,Trip Completed
5994,Airport,9,15-07-2016 11:51:16,15-07-2016 12:32:12,Trip Completed
1809,Airport,10,12/7/2016 9:13,12/7/2016 10:01,Trip Completed
2064,Airport,10,12/7/2016 15:08,12/7/2016 16:14,Trip Completed
3210,City,10,13-07-2016 09:47:06,13-07-2016 10:52:37,Trip Completed
4350,City,10,14-07-2016 07:24:43,14-07-2016 08:22:09,Trip Completed
4713,City,10,14-07-2016 13:31:24,14-07-2016 14:10:56,Trip Completed
5629,Airport,10,15-07-2016 06:33:00,15-07-2016 07:19:53,Trip Completed
6157,Airport,10,15-07-2016 16:32:51,15-07-2016 17:44:44,Trip Completed
2030,City,11,12/7/2016 14:11,12/7/2016 15:02,Trip Completed
3226,City,11,13-07-2016 10:00:17,13-07-2016 11:02:52,Trip Completed
3353,City,11,13-07-2016 13:29:44,13-07-2016 14:09:00,Trip Completed
4293,City,11,14-07-2016 06:42:36,14-07-2016 07:12:41,Trip Completed
4936,City,11,14-07-2016 18:22:17,14-07-2016 19:14:36,Trip Completed
5661,Airport,11,15-07-2016 07:08:50,15-07-2016 07:59:00,Trip Completed
5778,City,11,15-07-2016 08:22:03,15-07-2016 09:13:04,Trip Completed
6425,Airport,11,15-07-2016 19:46:40,15-07-2016 20:26:51,Trip Completed
45,Airport,12,11/7/2016 3:17,11/7/2016 4:09,Trip Completed
264,City,12,11/7/2016 6:51,11/7/2016 7:40,Trip Completed
1183,City,12,11/7/2016 21:05,11/7/2016 21:38,Trip Completed
1536,Airport,12,12/7/2016 5:59,12/7/2016 6:59,Trip Completed
2437,City,12,12/7/2016 20:18,12/7/2016 21:26,Trip Completed
2641,Airport,12,12/7/2016 22:28,12/7/2016 23:05,Trip Completed
4077,Airport,12,14-07-2016 02:14:15,14-07-2016 03:13:09,Trip Completed
4610,City,12,14-07-2016 10:35:14,14-07-2016 11:39:01,Trip Completed
5066,Airport,12,14-07-2016 19:31:20,14-07-2016 20:14:03,Trip Completed
5666,Airport,12,15-07-2016 07:04:55,15-07-2016 08:12:37,Trip Completed
5923,City,12,15-07-2016 10:07:49,15-07-2016 10:50:50,Trip Completed
6367,City,12,15-07-2016 19:04:46,15-07-2016 19:46:04,Trip Completed
155,City,13,11/7/2016 5:32,11/7/2016 6:28,Trip Completed
310,Airport,13,11/7/2016 7:24,11/7/2016 8:28,Trip Completed
607,City,13,11/7/2016 11:51,11/7/2016 12:42,Trip Completed
1012,City,13,11/7/2016 19:15,11/7/2016 19:57,Trip Completed
1696,Airport,13,12/7/2016 8:01,12/7/2016 8:42,Trip Completed
3076,City,13,13-07-2016 08:09:04,13-07-2016 09:12:19,Trip Completed
4198,Airport,13,14-07-2016 05:32:14,14-07-2016 06:45:32,Trip Completed
4627,City,13,14-07-2016 11:13:19,14-07-2016 12:00:12,Trip Completed
5289,City,13,14-07-2016 21:43:24,14-07-2016 22:24:13,Trip Completed
5495,Airport,13,15-07-2016 05:00:13,15-07-2016 06:02:27,Trip Completed
6656,Airport,13,15-07-2016 22:08:42,15-07-2016 22:41:18,Trip Completed
139,Airport,14,11/7/2016 5:21,11/7/2016 6:09,Trip Completed
215,City,14,11/7/2016 6:15,11/7/2016 7:07,Trip Completed
1816,City,14,12/7/2016 9:24,12/7/2016 10:07,Trip Completed
2505,Airport,14,12/7/2016 21:03,12/7/2016 22:14,Trip Completed
3346,City,14,13-07-2016 13:01:42,13-07-2016 13:55:59,Trip Completed
5294,City,14,14-07-2016 21:45:50,14-07-2016 22:16:40,Trip Completed
6226,Airport,14,15-07-2016 17:34:25,15-07-2016 18:33:13,Trip Completed
6733,Airport,14,15-07-2016 23:32:44,16-07-2016 00:37:46,Trip Completed
1027,Airport,15,11/7/2016 19:18,11/7/2016 20:24,Trip Completed
2675,Airport,15,12/7/2016 23:43,13-07-2016 00:35:12,Trip Completed
3200,City,15,13-07-2016 09:39:44,13-07-2016 10:30:58,Trip Completed
3865,City,15,13-07-2016 21:52:05,13-07-2016 22:21:15,Trip Completed
4468,City,15,14-07-2016 08:42:46,14-07-2016 09:22:01,Trip Completed
5163,Airport,15,14-07-2016 20:34:30,14-07-2016 21:05:18,Trip Completed
6009,City,15,15-07-2016 12:22:35,15-07-2016 13:25:27,Trip Completed
6448,Airport,15,15-07-2016 20:02:54,15-07-2016 20:40:45,Trip Completed
591,City,16,11/7/2016 11:25,11/7/2016 12:31,Trip Completed
709,City,16,11/7/2016 14:16,11/7/2016 15:03,Trip Completed
1167,Airport,16,11/7/2016 20:50,11/7/2016 21:52,Trip Completed
2661,Airport,16,12/7/2016 23:23,13-07-2016 00:27:21,Trip Completed
2808,City,16,13-07-2016 05:05:16,13-07-2016 05:56:11,Trip Completed
3258,Airport,16,13-07-2016 10:12:51,13-07-2016 10:45:28,Trip Completed
3413,Airport,16,13-07-2016 15:32:01,13-07-2016 16:45:44,Trip Completed
3939,Airport,16,13-07-2016 22:26:26,13-07-2016 22:55:54,Trip Completed
4125,City,16,14-07-2016 04:37:11,14-07-2016 05:46:29,Trip Completed
4457,City,16,14-07-2016 08:36:24,14-07-2016 09:19:20,Trip Completed
4728,City,16,14-07-2016 14:04:13,14-07-2016 15:06:40,Trip Completed
5347,Airport,16,14-07-2016 22:51:47,14-07-2016 23:53:42,Trip Completed
6147,City,16,15-07-2016 16:11:02,15-07-2016 17:30:08,Trip Completed
6496,Airport,16,15-07-2016 20:33:00,15-07-2016 21:32:49,Trip Completed
634,City,17,11/7/2016 12:25,11/7/2016 13:06,Trip Completed
939,Airport,17,11/7/2016 18:25,11/7/2016 19:26,Trip Completed
2628,Airport,17,12/7/2016 22:10,12/7/2016 23:25,Trip Completed
3021,City,17,13-07-2016 07:33:20,13-07-2016 08:26:07,Trip Completed
4743,City,17,14-07-2016 14:54:16,14-07-2016 15:39:03,Trip Completed
4981,City,17,14-07-2016 18:47:42,14-07-2016 19:43:44,Trip Completed
5367,Airport,17,14-07-2016 23:35:34,15-07-2016 00:25:26,Trip Completed
5471,Airport,17,15-07-2016 04:48:57,15-07-2016 05:47:13,Trip Completed
5988,Airport,17,15-07-2016 11:48:32,15-07-2016 12:55:02,Trip Completed
6477,Airport,17,15-07-2016 20:21:26,15-07-2016 21:00:31,Trip Completed
499,City,18,11/7/2016 9:39,11/7/2016 10:16,Trip Completed
1147,Airport,18,11/7/2016 20:42,11/7/2016 21:18,Trip Completed
1410,Airport,18,12/7/2016 3:14,12/7/2016 4:27,Trip Completed
1804,Airport,18,12/7/2016 9:12,12/7/2016 9:57,Trip Completed
1949,Airport,18,12/7/2016 11:32,12/7/2016 12:13,Trip Completed
2713,City,18,13-07-2016 01:46:42,13-07-2016 02:37:08,Trip Completed
2845,City,18,13-07-2016 05:28:29,13-07-2016 06:10:40,Trip Completed
3943,Airport,18,13-07-2016 22:35:38,13-07-2016 23:33:20,Trip Completed
4792,City,18,14-07-2016 16:47:15,14-07-2016 17:34:39,Trip Completed
5207,Airport,18,14-07-2016 20:57:41,14-07-2016 21:56:21,Trip Completed
5890,City,18,15-07-2016 09:43:57,15-07-2016 10:55:22,Trip Completed
494,City,19,11/7/2016 9:36,11/7/2016 10:02,Trip Completed
1485,City,19,12/7/2016 5:21,12/7/2016 6:35,Trip Completed
2042,City,19,12/7/2016 14:30,12/7/2016 15:09,Trip Completed
2561,Airport,19,12/7/2016 21:29,12/7/2016 22:44,Trip Completed
3813,Airport,19,13-07-2016 21:06:57,13-07-2016 21:46:24,Trip Completed
4260,Airport,19,14-07-2016 06:11:51,14-07-2016 06:59:46,Trip Completed
4395,City,19,14-07-2016 08:00:15,14-07-2016 08:54:39,Trip Completed
5919,City,19,15-07-2016 10:03:42,15-07-2016 10:59:27,Trip Completed
6002,Airport,19,15-07-2016 12:04:15,15-07-2016 12:53:36,Trip Completed
468,City,20,11/7/2016 9:20,11/7/2016 10:05,Trip Completed
693,Airport,20,11/7/2016 13:51,11/7/2016 15:01,Trip Completed
1178,City,20,11/7/2016 21:05,11/7/2016 22:06,Trip Completed
2103,City,20,12/7/2016 16:08,12/7/2016 17:18,Trip Completed
2292,Airport,20,12/7/2016 18:46,12/7/2016 19:23,Trip Completed
3339,City,20,13-07-2016 12:40:58,13-07-2016 13:30:26,Trip Completed
3694,City,20,13-07-2016 19:33:19,13-07-2016 20:35:08,Trip Completed
4469,City,20,14-07-2016 08:45:13,14-07-2016 09:48:08,Trip Completed
6432,City,20,15-07-2016 19:50:57,15-07-2016 20:30:05,Trip Completed
1895,City,21,12/7/2016 10:20,12/7/2016 10:52,Trip Completed
1981,Airport,21,12/7/2016 12:23,12/7/2016 12:56,Trip Completed
3744,Airport,21,13-07-2016 20:28:11,13-07-2016 21:22:42,Trip Completed
4433,Airport,21,14-07-2016 08:26:32,14-07-2016 09:12:02,Trip Completed
6039,Airport,21,15-07-2016 13:11:04,15-07-2016 13:38:01,Trip Completed
6543,City,21,15-07-2016 20:54:20,15-07-2016 22:12:36,Trip Completed
110,City,22,11/7/2016 5:05,11/7/2016 6:06,Trip Completed
362,City,22,11/7/2016 8:01,11/7/2016 9:18,Trip Completed
666,Airport,22,11/7/2016 13:02,11/7/2016 13:45,Trip Completed
926,City,22,11/7/2016 18:28,11/7/2016 19:34,Trip Completed
1180,Airport,22,11/7/2016 21:01,11/7/2016 22:14,Trip Completed
1900,City,22,12/7/2016 10:32,12/7/2016 11:42,Trip Completed
2506,City,22,12/7/2016 21:01,12/7/2016 21:38,Trip Completed
3064,City,22,13-07-2016 08:02:03,13-07-2016 08:58:46,Trip Completed
3327,Airport,22,13-07-2016 12:24:41,13-07-2016 13:23:39,Trip Completed
3601,City,22,13-07-2016 18:39:00,13-07-2016 19:29:07,Trip Completed
4768,Airport,22,14-07-2016 15:39:24,14-07-2016 16:49:03,Trip Completed
5142,City,22,14-07-2016 20:17:51,14-07-2016 20:48:58,Trip Completed
5366,Airport,22,14-07-2016 23:27:22,15-07-2016 00:19:50,Trip Completed
5575,City,22,15-07-2016 05:53:55,15-07-2016 06:50:02,Trip Completed
5902,City,22,15-07-2016 09:52:57,15-07-2016 10:37:05,Trip Completed
6694,Airport,22,15-07-2016 22:45:44,15-07-2016 23:17:53,Trip Completed
523,Airport,23,11/7/2016 9:48,11/7/2016 10:37,Trip Completed
747,City,23,11/7/2016 15:53,11/7/2016 16:43,Trip Completed
1371,Airport,23,12/7/2016 0:22,12/7/2016 1:33,Trip Completed
1553,City,23,12/7/2016 6:09,12/7/2016 7:09,Trip Completed
1692,Airport,23,12/7/2016 7:52,12/7/2016 9:01,Trip Completed
2114,City,23,12/7/2016 16:36,12/7/2016 17:21,Trip Completed
2742,City,23,13-07-2016 03:07:37,13-07-2016 03:51:35,Trip Completed
4273,City,23,14-07-2016 06:17:01,14-07-2016 07:02:28,Trip Completed
4668,City,23,14-07-2016 12:25:02,14-07-2016 13:34:58,Trip Completed
5425,City,23,15-07-2016 02:23:56,15-07-2016 03:08:35,Trip Completed
5488,City,23,15-07-2016 04:53:42,15-07-2016 06:00:16,Trip Completed
5781,City,23,15-07-2016 08:35:47,15-07-2016 09:42:27,Trip Completed
5966,Airport,23,15-07-2016 10:54:27,15-07-2016 11:58:44,Trip Completed
6122,City,23,15-07-2016 15:26:06,15-07-2016 16:29:40,Trip Completed
357,Airport,24,11/7/2016 8:00,11/7/2016 9:08,Trip Completed
1068,City,24,11/7/2016 19:52,11/7/2016 20:48,Trip Completed
2689,Airport,24,13-07-2016 00:34:03,13-07-2016 01:49:08,Trip Completed
2791,City,24,13-07-2016 04:56:20,13-07-2016 05:33:20,Trip Completed
3321,City,24,13-07-2016 12:23:02,13-07-2016 13:25:14,Trip Completed
3423,Airport,24,13-07-2016 15:52:07,13-07-2016 16:50:46,Trip Completed
3761,Airport,24,13-07-2016 20:35:24,13-07-2016 21:39:02,Trip Completed
4140,City,24,14-07-2016 04:48:09,14-07-2016 06:05:01,Trip Completed
4656,City,24,14-07-2016 12:06:27,14-07-2016 12:49:14,Trip Completed
4931,Airport,24,14-07-2016 18:21:52,14-07-2016 18:54:03,Trip Completed
5268,City,24,14-07-2016 21:29:35,14-07-2016 22:30:11,Trip Completed
5811,City,24,15-07-2016 08:46:30,15-07-2016 09:26:33,Trip Completed
6139,Airport,24,15-07-2016 15:45:16,15-07-2016 16:40:41,Trip Completed
6333,Airport,24,15-07-2016 18:41:22,15-07-2016 19:53:29,Trip Completed
773,City,25,11/7/2016 16:23,11/7/2016 17:21,Trip Completed
1123,City,25,11/7/2016 20:20,11/7/2016 21:18,Trip Completed
2667,Airport,25,12/7/2016 23:35,13-07-2016 00:40:52,Trip Completed
2833,City,25,13-07-2016 05:27:26,13-07-2016 06:19:18,Trip Completed
3396,City,25,13-07-2016 14:59:08,13-07-2016 15:57:24,Trip Completed
3590,City,25,13-07-2016 18:31:29,13-07-2016 19:31:56,Trip Completed
3762,City,25,13-07-2016 20:38:10,13-07-2016 21:21:24,Trip Completed
4566,City,25,14-07-2016 09:48:56,14-07-2016 10:22:52,Trip Completed
4862,City,25,14-07-2016 17:37:44,14-07-2016 18:41:40,Trip Completed
5564,Airport,25,15-07-2016 05:41:11,15-07-2016 06:53:22,Trip Completed
6187,City,25,15-07-2016 17:11:08,15-07-2016 18:08:11,Trip Completed
6642,City,25,15-07-2016 22:07:14,15-07-2016 22:54:02,Trip Completed
322,City,26,11/7/2016 7:31,11/7/2016 8:10,Trip Completed
793,City,26,11/7/2016 17:04,11/7/2016 18:06,Trip Completed
898,Airport,26,11/7/2016 18:14,11/7/2016 19:09,Trip Completed
1258,City,26,11/7/2016 21:51,11/7/2016 23:00,Trip Completed
2832,City,26,13-07-2016 05:20:16,13-07-2016 06:14:07,Trip Completed
3139,City,26,13-07-2016 08:54:04,13-07-2016 09:22:42,Trip Completed
3438,City,26,13-07-2016 16:12:53,13-07-2016 17:13:44,Trip Completed
3966,Airport,26,13-07-2016 22:50:42,13-07-2016 23:27:43,Trip Completed
6401,Airport,26,15-07-2016 19:33:00,15-07-2016 20:16:57,Trip Completed
204,City,27,11/7/2016 6:04,11/7/2016 6:44,Trip Completed
632,Airport,27,11/7/2016 12:20,11/7/2016 13:10,Trip Completed
763,City,27,11/7/2016 16:19,11/7/2016 17:25,Trip Completed
1786,Airport,27,12/7/2016 9:03,12/7/2016 9:58,Trip Completed
1968,City,27,12/7/2016 12:10,12/7/2016 12:49,Trip Completed
2088,Airport,27,12/7/2016 15:51,12/7/2016 17:02,Trip Completed
2473,Airport,27,12/7/2016 20:43,12/7/2016 21:20,Trip Completed
2869,Airport,27,13-07-2016 05:50:09,13-07-2016 06:27:07,Trip Completed
3742,Airport,27,13-07-2016 20:24:23,13-07-2016 20:48:05,Trip Completed
4440,Airport,27,14-07-2016 08:26:29,14-07-2016 09:00:36,Trip Completed
5234,City,27,14-07-2016 21:09:47,14-07-2016 21:52:37,Trip Completed
6354,Airport,27,15-07-2016 18:59:01,15-07-2016 19:35:10,Trip Completed
6638,City,27,15-07-2016 21:59:10,15-07-2016 23:13:18,Trip Completed
84,City,28,11/7/2016 4:50,11/7/2016 5:26,Trip Completed
1199,City,28,11/7/2016 21:17,11/7/2016 21:53,Trip Completed
1676,Airport,28,12/7/2016 7:44,12/7/2016 8:40,Trip Completed
2774,City,28,13-07-2016 04:33:38,13-07-2016 05:13:54,Trip Completed
3220,Airport,28,13-07-2016 09:51:41,13-07-2016 10:24:39,Trip Completed
3718,Airport,28,13-07-2016 19:56:20,13-07-2016 20:47:17,Trip Completed
4904,Airport,28,14-07-2016 18:02:23,14-07-2016 18:58:49,Trip Completed
6527,Airport,28,15-07-2016 20:54:01,15-07-2016 21:53:29,Trip Completed
6710,City,28,15-07-2016 23:02:36,16-07-2016 00:12:12,Trip Completed
1584,Airport,29,12/7/2016 6:26,12/7/2016 7:18,Trip Completed
1966,Airport,29,12/7/2016 12:05,12/7/2016 13:12,Trip Completed
2827,City,29,13-07-2016 05:18:31,13-07-2016 06:18:22,Trip Completed
2945,Airport,29,13-07-2016 06:34:13,13-07-2016 07:28:05,Trip Completed
3365,City,29,13-07-2016 13:47:14,13-07-2016 14:51:51,Trip Completed
3548,Airport,29,13-07-2016 18:07:42,13-07-2016 19:12:22,Trip Completed
3753,City,29,13-07-2016 20:30:08,13-07-2016 21:42:32,Trip Completed
4569,Airport,29,14-07-2016 09:48:17,14-07-2016 10:49:39,Trip Completed
6309,Airport,29,15-07-2016 18:29:54,15-07-2016 19:42:21,Trip Completed
6437,City,29,15-07-2016 19:53:52,15-07-2016 20:26:32,Trip Completed
517,Airport,30,11/7/2016 9:45,11/7/2016 10:24,Trip Completed
1406,Airport,30,12/7/2016 3:02,12/7/2016 3:55,Trip Completed
1643,Airport,30,12/7/2016 7:18,12/7/2016 8:10,Trip Completed
2108,Airport,30,12/7/2016 16:14,12/7/2016 16:48,Trip Completed
2647,City,30,12/7/2016 22:46,12/7/2016 23:18,Trip Completed
3129,City,30,13-07-2016 08:41:49,13-07-2016 09:41:42,Trip Completed
3738,Airport,30,13-07-2016 20:15:54,13-07-2016 20:55:01,Trip Completed
4422,Airport,30,14-07-2016 08:13:15,14-07-2016 09:13:10,Trip Completed
4790,City,30,14-07-2016 16:43:53,14-07-2016 17:56:08,Trip Completed
5496,City,30,15-07-2016 04:59:58,15-07-2016 05:34:09,Trip Completed
6484,Airport,30,15-07-2016 20:19:45,15-07-2016 21:01:21,Trip Completed
6731,Airport,30,15-07-2016 23:23:55,16-07-2016 00:11:55,Trip Completed
629,Airport,31,11/7/2016 12:14,11/7/2016 13:00,Trip Completed
745,Airport,31,11/7/2016 15:48,11/7/2016 16:45,Trip Completed
1064,City,31,11/7/2016 19:53,11/7/2016 20:31,Trip Completed
1886,Airport,31,12/7/2016 10:10,12/7/2016 10:35,Trip Completed
5608,Airport,31,15-07-2016 06:18:36,15-07-2016 07:07:34,Trip Completed
5877,City,31,15-07-2016 09:37:21,15-07-2016 10:08:03,Trip Completed
6100,Airport,31,15-07-2016 14:44:32,15-07-2016 15:41:12,Trip Completed
6659,Airport,31,15-07-2016 22:15:45,15-07-2016 23:07:50,Trip Completed
2162,Airport,32,12/7/2016 17:34,12/7/2016 18:33,Trip Completed
3294,Airport,32,13-07-2016 11:23:36,13-07-2016 12:14:06,Trip Completed
3686,City,32,13-07-2016 19:33:18,13-07-2016 20:34:21,Trip Completed
4784,City,32,14-07-2016 16:41:52,14-07-2016 17:15:01,Trip Completed
5896,City,32,15-07-2016 09:47:11,15-07-2016 10:32:41,Trip Completed
6190,City,32,15-07-2016 17:11:33,15-07-2016 17:55:50,Trip Completed
6551,City,32,15-07-2016 21:03:02,15-07-2016 22:17:22,Trip Completed
145,City,33,11/7/2016 5:32,11/7/2016 6:37,Trip Completed
735,City,33,11/7/2016 15:27,11/7/2016 16:32,Trip Completed
918,Airport,33,11/7/2016 18:22,11/7/2016 19:04,Trip Completed
1478,City,33,12/7/2016 5:16,12/7/2016 6:13,Trip Completed
1957,City,33,12/7/2016 11:45,12/7/2016 12:55,Trip Completed
3097,City,33,13-07-2016 08:15:34,13-07-2016 09:12:57,Trip Completed
3981,Airport,33,13-07-2016 23:13:54,13-07-2016 23:38:37,Trip Completed
4175,City,33,14-07-2016 05:11:15,14-07-2016 06:15:24,Trip Completed
6237,City,33,15-07-2016 17:50:37,15-07-2016 18:49:29,Trip Completed
738,City,34,11/7/2016 15:30,11/7/2016 16:44,Trip Completed
2731,City,34,13-07-2016 02:38:48,13-07-2016 03:16:56,Trip Completed
2863,Airport,34,13-07-2016 05:46:42,13-07-2016 06:22:39,Trip Completed
3528,Airport,34,13-07-2016 17:50:59,13-07-2016 18:17:24,Trip Completed
4653,City,34,14-07-2016 11:58:46,14-07-2016 12:55:21,Trip Completed
5042,City,34,14-07-2016 19:21:16,14-07-2016 20:05:07,Trip Completed
360,Airport,35,11/7/2016 8:02,11/7/2016 9:05,Trip Completed
771,Airport,35,11/7/2016 16:19,11/7/2016 17:34,Trip Completed
1274,City,35,11/7/2016 22:01,11/7/2016 23:21,Trip Completed
1501,City,35,12/7/2016 5:41,12/7/2016 6:47,Trip Completed
1972,City,35,12/7/2016 12:22,12/7/2016 12:43,Trip Completed
2871,City,35,13-07-2016 05:53:33,13-07-2016 07:00:33,Trip Completed
3395,City,35,13-07-2016 14:52:52,13-07-2016 15:33:04,Trip Completed
3572,City,35,13-07-2016 18:25:52,13-07-2016 19:31:28,Trip Completed
4118,Airport,35,14-07-2016 04:28:35,14-07-2016 05:26:48,Trip Completed
4739,City,35,14-07-2016 14:52:43,14-07-2016 15:37:25,Trip Completed
6556,City,35,15-07-2016 21:09:57,15-07-2016 21:38:06,Trip Completed
6677,Airport,35,15-07-2016 22:29:56,15-07-2016 23:22:48,Trip Completed
1104,Airport,36,11/7/2016 20:17,11/7/2016 21:20,Trip Completed
1596,Airport,36,12/7/2016 6:39,12/7/2016 7:30,Trip Completed
1835,Airport,36,12/7/2016 9:35,12/7/2016 10:30,Trip Completed
2110,Airport,36,12/7/2016 16:19,12/7/2016 17:12,Trip Completed
